,INPUT_DESCRIPTION,MEASUREMENT_TIME,VALUE
0,Battery Tag,2020-11-20 07:20:53.332,4
1,Battery Designed Capacity (mWh) ,2020-11-20 07:20:53.332,70000
2,Battery Full Charged Capacity (mWh),2020-11-20 07:20:53.332,69680
3,Battery Cycle Count,2020-11-20 07:20:53.332,12
4,Battery Left (%).,2020-11-20 07:20:53.399,98
5,Battery Flag,2020-11-20 07:20:53.399,9
6,Battery Life Time (Seconds).,2020-11-20 07:20:53.399,4294967295
7,Battery Charging.,2020-11-20 07:20:53.399,1
8,Battery Discharging.,2020-11-20 07:20:53.399,0
9,Battery MaxCapacity (mWh).,2020-11-20 07:20:53.399,69680
10,Battery estimatedTime (Seconds).,2020-11-20 07:20:53.399,4294967295
11,Battery Current Capacity (mWh),2020-11-20 07:20:53.399,68380
12,Battery Voltage (mv),2020-11-20 07:20:53.399,17375
13,Battery Rate (mW),2020-11-20 07:20:53.399,5803
14,Battery Tag,2020-11-20 07:21:23.331,4
15,Battery Designed Capacity (mWh) ,2020-11-20 07:21:23.331,70000
16,Battery Full Charged Capacity (mWh),2020-11-20 07:21:23.331,69680
17,Battery Cycle Count,2020-11-20 07:21:23.331,12
18,Battery Left (%).,2020-11-20 07:21:23.396,98
19,Battery Flag,2020-11-20 07:21:23.396,9
20,Battery Life Time (Seconds).,2020-11-20 07:21:23.396,4294967295
21,Battery Charging.,2020-11-20 07:21:23.396,1
22,Battery Discharging.,2020-11-20 07:21:23.396,0
23,Battery MaxCapacity (mWh).,2020-11-20 07:21:23.396,69680
24,Battery estimatedTime (Seconds).,2020-11-20 07:21:23.396,4294967295
25,Battery Current Capacity (mWh),2020-11-20 07:21:23.396,68420
26,Battery Voltage (mv),2020-11-20 07:21:23.396,17375
27,Battery Rate (mW),2020-11-20 07:21:23.396,5699
28,Battery Tag,2020-11-20 07:21:53.330,4
29,Battery Designed Capacity (mWh) ,2020-11-20 07:21:53.330,70000
30,Battery Full Charged Capacity (mWh),2020-11-20 07:21:53.330,69680
31,Battery Cycle Count,2020-11-20 07:21:53.330,12
32,Battery Left (%).,2020-11-20 07:21:53.397,98
33,Battery Flag,2020-11-20 07:21:53.397,9
34,Battery Life Time (Seconds).,2020-11-20 07:21:53.397,4294967295
35,Battery Charging.,2020-11-20 07:21:53.397,1
36,Battery Discharging.,2020-11-20 07:21:53.397,0
37,Battery MaxCapacity (mWh).,2020-11-20 07:21:53.397,69680
38,Battery estimatedTime (Seconds).,2020-11-20 07:21:53.397,4294967295
39,Battery Current Capacity (mWh),2020-11-20 07:21:53.397,68450
40,Battery Voltage (mv),2020-11-20 07:21:53.397,17375
41,Battery Rate (mW),2020-11-20 07:21:53.397,5577
42,Battery Tag,2020-11-20 07:22:23.329,4
43,Battery Designed Capacity (mWh) ,2020-11-20 07:22:23.329,70000
44,Battery Full Charged Capacity (mWh),2020-11-20 07:22:23.329,69680
45,Battery Cycle Count,2020-11-20 07:22:23.329,12
46,Battery Left (%).,2020-11-20 07:22:23.395,98
47,Battery Flag,2020-11-20 07:22:23.395,9
48,Battery Life Time (Seconds).,2020-11-20 07:22:23.395,4294967295
49,Battery Charging.,2020-11-20 07:22:23.395,1
50,Battery Discharging.,2020-11-20 07:22:23.395,0
51,Battery MaxCapacity (mWh).,2020-11-20 07:22:23.395,69680
52,Battery estimatedTime (Seconds).,2020-11-20 07:22:23.395,4294967295
53,Battery Current Capacity (mWh),2020-11-20 07:22:23.395,68490
54,Battery Voltage (mv),2020-11-20 07:22:23.395,17376
55,Battery Rate (mW),2020-11-20 07:22:23.395,5456
56,Battery Tag,2020-11-20 07:22:53.329,4
57,Battery Designed Capacity (mWh) ,2020-11-20 07:22:53.329,70000
58,Battery Full Charged Capacity (mWh),2020-11-20 07:22:53.329,69680
59,Battery Cycle Count,2020-11-20 07:22:53.329,12
60,Battery Left (%).,2020-11-20 07:22:53.396,98
61,Battery Flag,2020-11-20 07:22:53.396,9
62,Battery Life Time (Seconds).,2020-11-20 07:22:53.396,4294967295
63,Battery Charging.,2020-11-20 07:22:53.396,1
64,Battery Discharging.,2020-11-20 07:22:53.396,0
65,Battery MaxCapacity (mWh).,2020-11-20 07:22:53.396,69680
66,Battery estimatedTime (Seconds).,2020-11-20 07:22:53.396,4294967295
67,Battery Current Capacity (mWh),2020-11-20 07:22:53.396,68530
68,Battery Voltage (mv),2020-11-20 07:22:53.396,17381
69,Battery Rate (mW),2020-11-20 07:22:53.396,5353
70,Battery Tag,2020-11-20 07:23:23.328,4
71,Battery Designed Capacity (mWh) ,2020-11-20 07:23:23.328,70000
72,Battery Full Charged Capacity (mWh),2020-11-20 07:23:23.328,69680
73,Battery Cycle Count,2020-11-20 07:23:23.328,12
74,Battery Left (%).,2020-11-20 07:23:23.395,98
75,Battery Flag,2020-11-20 07:23:23.395,9
76,Battery Life Time (Seconds).,2020-11-20 07:23:23.395,4294967295
77,Battery Charging.,2020-11-20 07:23:23.395,1
78,Battery Discharging.,2020-11-20 07:23:23.395,0
79,Battery MaxCapacity (mWh).,2020-11-20 07:23:23.395,69680
80,Battery estimatedTime (Seconds).,2020-11-20 07:23:23.395,4294967295
81,Battery Current Capacity (mWh),2020-11-20 07:23:23.395,68560
82,Battery Voltage (mv),2020-11-20 07:23:23.395,17377
83,Battery Rate (mW),2020-11-20 07:23:23.395,5265
84,Battery Tag,2020-11-20 07:23:53.327,4
85,Battery Designed Capacity (mWh) ,2020-11-20 07:23:53.327,70000
86,Battery Full Charged Capacity (mWh),2020-11-20 07:23:53.327,69680
87,Battery Cycle Count,2020-11-20 07:23:53.327,12
88,Battery Left (%).,2020-11-20 07:23:53.394,98
89,Battery Flag,2020-11-20 07:23:53.394,9
90,Battery Life Time (Seconds).,2020-11-20 07:23:53.394,4294967295
91,Battery Charging.,2020-11-20 07:23:53.394,1
92,Battery Discharging.,2020-11-20 07:23:53.394,0
93,Battery MaxCapacity (mWh).,2020-11-20 07:23:53.394,69680
94,Battery estimatedTime (Seconds).,2020-11-20 07:23:53.394,4294967295
95,Battery Current Capacity (mWh),2020-11-20 07:23:53.394,68600
96,Battery Voltage (mv),2020-11-20 07:23:53.394,17376
97,Battery Rate (mW),2020-11-20 07:23:53.394,5160
98,Battery Tag,2020-11-20 07:24:23.327,4
99,Battery Designed Capacity (mWh) ,2020-11-20 07:24:23.327,70000
100,Battery Full Charged Capacity (mWh),2020-11-20 07:24:23.327,69680
101,Battery Cycle Count,2020-11-20 07:24:23.327,12
102,Battery Left (%).,2020-11-20 07:24:23.394,98
103,Battery Flag,2020-11-20 07:24:23.394,9
104,Battery Life Time (Seconds).,2020-11-20 07:24:23.394,4294967295
105,Battery Charging.,2020-11-20 07:24:23.394,1
106,Battery Discharging.,2020-11-20 07:24:23.394,0
107,Battery MaxCapacity (mWh).,2020-11-20 07:24:23.394,69680
108,Battery estimatedTime (Seconds).,2020-11-20 07:24:23.394,4294967295
109,Battery Current Capacity (mWh),2020-11-20 07:24:23.394,68630
110,Battery Voltage (mv),2020-11-20 07:24:23.394,17377
111,Battery Rate (mW),2020-11-20 07:24:23.394,5039
112,Battery Tag,2020-11-20 07:24:53.326,4
113,Battery Designed Capacity (mWh) ,2020-11-20 07:24:53.326,70000
114,Battery Full Charged Capacity (mWh),2020-11-20 07:24:53.326,69680
115,Battery Cycle Count,2020-11-20 07:24:53.326,12
116,Battery Left (%).,2020-11-20 07:24:53.393,99
117,Battery Flag,2020-11-20 07:24:53.393,9
118,Battery Life Time (Seconds).,2020-11-20 07:24:53.393,4294967295
119,Battery Charging.,2020-11-20 07:24:53.393,1
120,Battery Discharging.,2020-11-20 07:24:53.393,0
121,Battery MaxCapacity (mWh).,2020-11-20 07:24:53.393,69680
122,Battery estimatedTime (Seconds).,2020-11-20 07:24:53.393,4294967295
123,Battery Current Capacity (mWh),2020-11-20 07:24:53.393,68670
124,Battery Voltage (mv),2020-11-20 07:24:53.393,17377
125,Battery Rate (mW),2020-11-20 07:24:53.393,4935
126,Battery Tag,2020-11-20 07:25:23.326,4
127,Battery Designed Capacity (mWh) ,2020-11-20 07:25:23.326,70000
128,Battery Full Charged Capacity (mWh),2020-11-20 07:25:23.326,69680
129,Battery Cycle Count,2020-11-20 07:25:23.326,12
130,Battery Left (%).,2020-11-20 07:25:23.392,99
131,Battery Flag,2020-11-20 07:25:23.392,9
132,Battery Life Time (Seconds).,2020-11-20 07:25:23.392,4294967295
133,Battery Charging.,2020-11-20 07:25:23.392,1
134,Battery Discharging.,2020-11-20 07:25:23.392,0
135,Battery MaxCapacity (mWh).,2020-11-20 07:25:23.392,69680
136,Battery estimatedTime (Seconds).,2020-11-20 07:25:23.392,4294967295
137,Battery Current Capacity (mWh),2020-11-20 07:25:23.392,68700
138,Battery Voltage (mv),2020-11-20 07:25:23.392,17376
139,Battery Rate (mW),2020-11-20 07:25:23.392,4847
140,Battery Tag,2020-11-20 07:25:53.326,4
141,Battery Designed Capacity (mWh) ,2020-11-20 07:25:53.326,70000
142,Battery Full Charged Capacity (mWh),2020-11-20 07:25:53.326,69680
143,Battery Cycle Count,2020-11-20 07:25:53.326,12
144,Battery Left (%).,2020-11-20 07:25:53.392,99
145,Battery Flag,2020-11-20 07:25:53.392,9
146,Battery Life Time (Seconds).,2020-11-20 07:25:53.392,4294967295
147,Battery Charging.,2020-11-20 07:25:53.392,1
148,Battery Discharging.,2020-11-20 07:25:53.392,0
149,Battery MaxCapacity (mWh).,2020-11-20 07:25:53.392,69680
150,Battery estimatedTime (Seconds).,2020-11-20 07:25:53.392,4294967295
151,Battery Current Capacity (mWh),2020-11-20 07:25:53.392,68730
152,Battery Voltage (mv),2020-11-20 07:25:53.392,17376
153,Battery Rate (mW),2020-11-20 07:25:53.392,4743
154,Battery Tag,2020-11-20 07:26:23.325,4
155,Battery Designed Capacity (mWh) ,2020-11-20 07:26:23.325,70000
156,Battery Full Charged Capacity (mWh),2020-11-20 07:26:23.325,69680
157,Battery Cycle Count,2020-11-20 07:26:23.325,12
158,Battery Left (%).,2020-11-20 07:26:23.392,99
159,Battery Flag,2020-11-20 07:26:23.392,9
160,Battery Life Time (Seconds).,2020-11-20 07:26:23.392,4294967295
161,Battery Charging.,2020-11-20 07:26:23.392,1
162,Battery Discharging.,2020-11-20 07:26:23.392,0
163,Battery MaxCapacity (mWh).,2020-11-20 07:26:23.392,69680
164,Battery estimatedTime (Seconds).,2020-11-20 07:26:23.392,4294967295
165,Battery Current Capacity (mWh),2020-11-20 07:26:23.392,68760
166,Battery Voltage (mv),2020-11-20 07:26:23.392,17382
167,Battery Rate (mW),2020-11-20 07:26:23.392,4658
168,Battery Tag,2020-11-20 07:26:53.325,4
169,Battery Designed Capacity (mWh) ,2020-11-20 07:26:53.325,70000
170,Battery Full Charged Capacity (mWh),2020-11-20 07:26:53.325,69680
171,Battery Cycle Count,2020-11-20 07:26:53.325,12
172,Battery Left (%).,2020-11-20 07:26:53.392,99
173,Battery Flag,2020-11-20 07:26:53.392,9
174,Battery Life Time (Seconds).,2020-11-20 07:26:53.392,4294967295
175,Battery Charging.,2020-11-20 07:26:53.392,1
176,Battery Discharging.,2020-11-20 07:26:53.392,0
177,Battery MaxCapacity (mWh).,2020-11-20 07:26:53.392,69680
178,Battery estimatedTime (Seconds).,2020-11-20 07:26:53.392,4294967295
179,Battery Current Capacity (mWh),2020-11-20 07:26:53.392,68790
180,Battery Voltage (mv),2020-11-20 07:26:53.392,17377
181,Battery Rate (mW),2020-11-20 07:26:53.392,4552
182,Battery Tag,2020-11-20 07:27:23.325,4
183,Battery Designed Capacity (mWh) ,2020-11-20 07:27:23.325,70000
184,Battery Full Charged Capacity (mWh),2020-11-20 07:27:23.325,69680
185,Battery Cycle Count,2020-11-20 07:27:23.325,12
186,Battery Left (%).,2020-11-20 07:27:23.392,99
187,Battery Flag,2020-11-20 07:27:23.392,9
188,Battery Life Time (Seconds).,2020-11-20 07:27:23.392,4294967295
189,Battery Charging.,2020-11-20 07:27:23.392,1
190,Battery Discharging.,2020-11-20 07:27:23.392,0
191,Battery MaxCapacity (mWh).,2020-11-20 07:27:23.392,69680
192,Battery estimatedTime (Seconds).,2020-11-20 07:27:23.392,4294967295
193,Battery Current Capacity (mWh),2020-11-20 07:27:23.392,68820
194,Battery Voltage (mv),2020-11-20 07:27:23.392,17378
195,Battery Rate (mW),2020-11-20 07:27:23.392,4466
196,Battery Tag,2020-11-20 07:27:53.324,4
197,Battery Designed Capacity (mWh) ,2020-11-20 07:27:53.324,70000
198,Battery Full Charged Capacity (mWh),2020-11-20 07:27:53.324,69680
199,Battery Cycle Count,2020-11-20 07:27:53.324,12
200,Battery Left (%).,2020-11-20 07:27:53.391,99
201,Battery Flag,2020-11-20 07:27:53.391,9
202,Battery Life Time (Seconds).,2020-11-20 07:27:53.391,4294967295
203,Battery Charging.,2020-11-20 07:27:53.391,1
204,Battery Discharging.,2020-11-20 07:27:53.391,0
205,Battery MaxCapacity (mWh).,2020-11-20 07:27:53.391,69680
206,Battery estimatedTime (Seconds).,2020-11-20 07:27:53.391,4294967295
207,Battery Current Capacity (mWh),2020-11-20 07:27:53.391,68860
208,Battery Voltage (mv),2020-11-20 07:27:53.391,17377
209,Battery Rate (mW),2020-11-20 07:27:53.391,4379
210,Battery Tag,2020-11-20 07:28:23.325,4
211,Battery Designed Capacity (mWh) ,2020-11-20 07:28:23.325,70000
212,Battery Full Charged Capacity (mWh),2020-11-20 07:28:23.325,69680
213,Battery Cycle Count,2020-11-20 07:28:23.325,12
214,Battery Left (%).,2020-11-20 07:28:23.392,99
215,Battery Flag,2020-11-20 07:28:23.392,9
216,Battery Life Time (Seconds).,2020-11-20 07:28:23.392,4294967295
217,Battery Charging.,2020-11-20 07:28:23.392,1
218,Battery Discharging.,2020-11-20 07:28:23.392,0
219,Battery MaxCapacity (mWh).,2020-11-20 07:28:23.392,69680
220,Battery estimatedTime (Seconds).,2020-11-20 07:28:23.392,4294967295
221,Battery Current Capacity (mWh),2020-11-20 07:28:23.392,68890
222,Battery Voltage (mv),2020-11-20 07:28:23.392,17378
223,Battery Rate (mW),2020-11-20 07:28:23.392,4292
224,Battery Tag,2020-11-20 07:28:53.324,4
225,Battery Designed Capacity (mWh) ,2020-11-20 07:28:53.324,70000
226,Battery Full Charged Capacity (mWh),2020-11-20 07:28:53.324,69680
227,Battery Cycle Count,2020-11-20 07:28:53.324,12
228,Battery Left (%).,2020-11-20 07:28:53.392,99
229,Battery Flag,2020-11-20 07:28:53.392,9
230,Battery Life Time (Seconds).,2020-11-20 07:28:53.392,4294967295
231,Battery Charging.,2020-11-20 07:28:53.392,1
232,Battery Discharging.,2020-11-20 07:28:53.392,0
233,Battery MaxCapacity (mWh).,2020-11-20 07:28:53.392,69680
234,Battery estimatedTime (Seconds).,2020-11-20 07:28:53.392,4294967295
235,Battery Current Capacity (mWh),2020-11-20 07:28:53.392,68910
236,Battery Voltage (mv),2020-11-20 07:28:53.392,17377
237,Battery Rate (mW),2020-11-20 07:28:53.392,4205
238,Battery Tag,2020-11-20 07:29:23.323,4
239,Battery Designed Capacity (mWh) ,2020-11-20 07:29:23.323,70000
240,Battery Full Charged Capacity (mWh),2020-11-20 07:29:23.323,69680
241,Battery Cycle Count,2020-11-20 07:29:23.323,12
242,Battery Left (%).,2020-11-20 07:29:23.391,99
243,Battery Flag,2020-11-20 07:29:23.391,9
244,Battery Life Time (Seconds).,2020-11-20 07:29:23.391,4294967295
245,Battery Charging.,2020-11-20 07:29:23.391,1
246,Battery Discharging.,2020-11-20 07:29:23.391,0
247,Battery MaxCapacity (mWh).,2020-11-20 07:29:23.391,69680
248,Battery estimatedTime (Seconds).,2020-11-20 07:29:23.391,4294967295
249,Battery Current Capacity (mWh),2020-11-20 07:29:23.391,68940
250,Battery Voltage (mv),2020-11-20 07:29:23.391,17382
251,Battery Rate (mW),2020-11-20 07:29:23.391,4119
252,Battery Tag,2020-11-20 07:29:53.322,4
253,Battery Designed Capacity (mWh) ,2020-11-20 07:29:53.322,70000
254,Battery Full Charged Capacity (mWh),2020-11-20 07:29:53.322,69680
255,Battery Cycle Count,2020-11-20 07:29:53.322,12
256,Battery Left (%).,2020-11-20 07:29:53.389,99
257,Battery Flag,2020-11-20 07:29:53.389,9
258,Battery Life Time (Seconds).,2020-11-20 07:29:53.389,4294967295
259,Battery Charging.,2020-11-20 07:29:53.389,1
260,Battery Discharging.,2020-11-20 07:29:53.389,0
261,Battery MaxCapacity (mWh).,2020-11-20 07:29:53.389,69680
262,Battery estimatedTime (Seconds).,2020-11-20 07:29:53.389,4294967295
263,Battery Current Capacity (mWh),2020-11-20 07:29:53.389,68970
264,Battery Voltage (mv),2020-11-20 07:29:53.389,17382
265,Battery Rate (mW),2020-11-20 07:29:53.389,4032
266,Battery Tag,2020-11-20 07:30:53.321,4
267,Battery Designed Capacity (mWh) ,2020-11-20 07:30:53.321,70000
268,Battery Full Charged Capacity (mWh),2020-11-20 07:30:53.321,69680
269,Battery Cycle Count,2020-11-20 07:30:53.321,12
270,Battery Left (%).,2020-11-20 07:30:53.388,99
271,Battery Flag,2020-11-20 07:30:53.388,9
272,Battery Life Time (Seconds).,2020-11-20 07:30:53.388,4294967295
273,Battery Charging.,2020-11-20 07:30:53.388,1
274,Battery Discharging.,2020-11-20 07:30:53.388,0
275,Battery MaxCapacity (mWh).,2020-11-20 07:30:53.388,69680
276,Battery estimatedTime (Seconds).,2020-11-20 07:30:53.388,4294967295
277,Battery Current Capacity (mWh),2020-11-20 07:30:53.388,69020
278,Battery Voltage (mv),2020-11-20 07:30:53.388,17378
279,Battery Rate (mW),2020-11-20 07:30:53.388,3875
280,Battery Tag,2020-11-20 07:31:23.321,4
281,Battery Designed Capacity (mWh) ,2020-11-20 07:31:23.321,70000
282,Battery Full Charged Capacity (mWh),2020-11-20 07:31:23.321,69680
283,Battery Cycle Count,2020-11-20 07:31:23.321,12
284,Battery Left (%).,2020-11-20 07:31:23.388,100
285,Battery Flag,2020-11-20 07:31:23.388,1
286,Battery Life Time (Seconds).,2020-11-20 07:31:23.388,4294967295
287,Battery Charging.,2020-11-20 07:31:23.388,0
288,Battery Discharging.,2020-11-20 07:31:23.388,0
289,Battery MaxCapacity (mWh).,2020-11-20 07:31:23.388,69680
290,Battery estimatedTime (Seconds).,2020-11-20 07:31:23.388,4294967295
291,Battery Current Capacity (mWh),2020-11-20 07:31:23.388,69680
292,Battery Voltage (mv),2020-11-20 07:31:23.388,17322
293,Battery Rate (mW),2020-11-20 07:31:23.388,0
294,Battery Tag,2020-11-20 07:31:53.321,4
295,Battery Designed Capacity (mWh) ,2020-11-20 07:31:53.321,70000
296,Battery Full Charged Capacity (mWh),2020-11-20 07:31:53.321,69680
297,Battery Cycle Count,2020-11-20 07:31:53.321,12
298,Battery Left (%).,2020-11-20 07:31:53.388,100
299,Battery Flag,2020-11-20 07:31:53.388,1
300,Battery Life Time (Seconds).,2020-11-20 07:31:53.388,4294967295
301,Battery Charging.,2020-11-20 07:31:53.388,0
302,Battery Discharging.,2020-11-20 07:31:53.388,0
303,Battery MaxCapacity (mWh).,2020-11-20 07:31:53.388,69680
304,Battery estimatedTime (Seconds).,2020-11-20 07:31:53.388,4294967295
305,Battery Current Capacity (mWh),2020-11-20 07:31:53.388,69680
306,Battery Voltage (mv),2020-11-20 07:31:53.388,17315
307,Battery Rate (mW),2020-11-20 07:31:53.388,0
308,Battery Tag,2020-11-20 07:32:23.321,4
309,Battery Designed Capacity (mWh) ,2020-11-20 07:32:23.321,70000
310,Battery Full Charged Capacity (mWh),2020-11-20 07:32:23.321,69680
311,Battery Cycle Count,2020-11-20 07:32:23.321,12
312,Battery Left (%).,2020-11-20 07:32:23.388,100
313,Battery Flag,2020-11-20 07:32:23.388,1
314,Battery Life Time (Seconds).,2020-11-20 07:32:23.388,4294967295
315,Battery Charging.,2020-11-20 07:32:23.388,0
316,Battery Discharging.,2020-11-20 07:32:23.388,0
317,Battery MaxCapacity (mWh).,2020-11-20 07:32:23.388,69680
318,Battery estimatedTime (Seconds).,2020-11-20 07:32:23.388,4294967295
319,Battery Current Capacity (mWh),2020-11-20 07:32:23.388,69680
320,Battery Voltage (mv),2020-11-20 07:32:23.388,17311
321,Battery Rate (mW),2020-11-20 07:32:23.388,0
322,Battery Tag,2020-11-20 07:32:53.320,4
323,Battery Designed Capacity (mWh) ,2020-11-20 07:32:53.320,70000
324,Battery Full Charged Capacity (mWh),2020-11-20 07:32:53.320,69680
325,Battery Cycle Count,2020-11-20 07:32:53.320,12
326,Battery Left (%).,2020-11-20 07:32:53.387,100
327,Battery Flag,2020-11-20 07:32:53.387,1
328,Battery Life Time (Seconds).,2020-11-20 07:32:53.387,4294967295
329,Battery Charging.,2020-11-20 07:32:53.387,0
330,Battery Discharging.,2020-11-20 07:32:53.387,0
331,Battery MaxCapacity (mWh).,2020-11-20 07:32:53.387,69680
332,Battery estimatedTime (Seconds).,2020-11-20 07:32:53.387,4294967295
333,Battery Current Capacity (mWh),2020-11-20 07:32:53.387,69680
334,Battery Voltage (mv),2020-11-20 07:32:53.387,17315
335,Battery Rate (mW),2020-11-20 07:32:53.387,0
336,Battery Tag,2020-11-20 07:33:23.321,4
337,Battery Designed Capacity (mWh) ,2020-11-20 07:33:23.321,70000
338,Battery Full Charged Capacity (mWh),2020-11-20 07:33:23.321,69680
339,Battery Cycle Count,2020-11-20 07:33:23.321,12
340,Battery Left (%).,2020-11-20 07:33:23.387,100
341,Battery Flag,2020-11-20 07:33:23.387,1
342,Battery Life Time (Seconds).,2020-11-20 07:33:23.387,4294967295
343,Battery Charging.,2020-11-20 07:33:23.387,0
344,Battery Discharging.,2020-11-20 07:33:23.387,0
345,Battery MaxCapacity (mWh).,2020-11-20 07:33:23.387,69680
346,Battery estimatedTime (Seconds).,2020-11-20 07:33:23.387,4294967295
347,Battery Current Capacity (mWh),2020-11-20 07:33:23.387,69680
348,Battery Voltage (mv),2020-11-20 07:33:23.387,17307
349,Battery Rate (mW),2020-11-20 07:33:23.387,0
350,Battery Tag,2020-11-20 07:33:53.320,4
351,Battery Designed Capacity (mWh) ,2020-11-20 07:33:53.320,70000
352,Battery Full Charged Capacity (mWh),2020-11-20 07:33:53.320,69680
353,Battery Cycle Count,2020-11-20 07:33:53.320,12
354,Battery Left (%).,2020-11-20 07:33:53.387,100
355,Battery Flag,2020-11-20 07:33:53.387,1
356,Battery Life Time (Seconds).,2020-11-20 07:33:53.387,4294967295
357,Battery Charging.,2020-11-20 07:33:53.387,0
358,Battery Discharging.,2020-11-20 07:33:53.387,0
359,Battery MaxCapacity (mWh).,2020-11-20 07:33:53.387,69680
360,Battery estimatedTime (Seconds).,2020-11-20 07:33:53.387,4294967295
361,Battery Current Capacity (mWh),2020-11-20 07:33:53.387,69680
362,Battery Voltage (mv),2020-11-20 07:33:53.387,17305
363,Battery Rate (mW),2020-11-20 07:33:53.387,0
364,Battery Tag,2020-11-20 07:34:23.319,4
365,Battery Designed Capacity (mWh) ,2020-11-20 07:34:23.319,70000
366,Battery Full Charged Capacity (mWh),2020-11-20 07:34:23.319,69680
367,Battery Cycle Count,2020-11-20 07:34:23.319,12
368,Battery Left (%).,2020-11-20 07:34:23.387,100
369,Battery Flag,2020-11-20 07:34:23.387,1
370,Battery Life Time (Seconds).,2020-11-20 07:34:23.387,4294967295
371,Battery Charging.,2020-11-20 07:34:23.387,0
372,Battery Discharging.,2020-11-20 07:34:23.387,0
373,Battery MaxCapacity (mWh).,2020-11-20 07:34:23.387,69680
374,Battery estimatedTime (Seconds).,2020-11-20 07:34:23.387,4294967295
375,Battery Current Capacity (mWh),2020-11-20 07:34:23.387,69680
376,Battery Voltage (mv),2020-11-20 07:34:23.387,17304
377,Battery Rate (mW),2020-11-20 07:34:23.387,0
378,Battery Tag,2020-11-20 07:34:53.319,4
379,Battery Designed Capacity (mWh) ,2020-11-20 07:34:53.319,70000
380,Battery Full Charged Capacity (mWh),2020-11-20 07:34:53.319,69680
381,Battery Cycle Count,2020-11-20 07:34:53.319,12
382,Battery Left (%).,2020-11-20 07:34:53.386,100
383,Battery Flag,2020-11-20 07:34:53.386,1
384,Battery Life Time (Seconds).,2020-11-20 07:34:53.386,4294967295
385,Battery Charging.,2020-11-20 07:34:53.386,0
386,Battery Discharging.,2020-11-20 07:34:53.386,0
387,Battery MaxCapacity (mWh).,2020-11-20 07:34:53.386,69680
388,Battery estimatedTime (Seconds).,2020-11-20 07:34:53.386,4294967295
389,Battery Current Capacity (mWh),2020-11-20 07:34:53.386,69680
390,Battery Voltage (mv),2020-11-20 07:34:53.386,17302
391,Battery Rate (mW),2020-11-20 07:34:53.386,0
392,Battery Tag,2020-11-20 07:35:23.319,4
393,Battery Designed Capacity (mWh) ,2020-11-20 07:35:23.319,70000
394,Battery Full Charged Capacity (mWh),2020-11-20 07:35:23.319,69680
395,Battery Cycle Count,2020-11-20 07:35:23.319,12
396,Battery Left (%).,2020-11-20 07:35:23.387,100
397,Battery Flag,2020-11-20 07:35:23.387,1
398,Battery Life Time (Seconds).,2020-11-20 07:35:23.387,4294967295
399,Battery Charging.,2020-11-20 07:35:23.387,0
400,Battery Discharging.,2020-11-20 07:35:23.387,0
401,Battery MaxCapacity (mWh).,2020-11-20 07:35:23.387,69680
402,Battery estimatedTime (Seconds).,2020-11-20 07:35:23.387,4294967295
403,Battery Current Capacity (mWh),2020-11-20 07:35:23.387,69680
404,Battery Voltage (mv),2020-11-20 07:35:23.387,17301
405,Battery Rate (mW),2020-11-20 07:35:23.387,0
406,Battery Tag,2020-11-20 07:35:53.319,4
407,Battery Designed Capacity (mWh) ,2020-11-20 07:35:53.319,70000
408,Battery Full Charged Capacity (mWh),2020-11-20 07:35:53.319,69680
409,Battery Cycle Count,2020-11-20 07:35:53.319,12
410,Battery Left (%).,2020-11-20 07:35:53.386,100
411,Battery Flag,2020-11-20 07:35:53.386,1
412,Battery Life Time (Seconds).,2020-11-20 07:35:53.386,4294967295
413,Battery Charging.,2020-11-20 07:35:53.386,0
414,Battery Discharging.,2020-11-20 07:35:53.386,0
415,Battery MaxCapacity (mWh).,2020-11-20 07:35:53.386,69680
416,Battery estimatedTime (Seconds).,2020-11-20 07:35:53.386,4294967295
417,Battery Current Capacity (mWh),2020-11-20 07:35:53.386,69680
418,Battery Voltage (mv),2020-11-20 07:35:53.386,17305
419,Battery Rate (mW),2020-11-20 07:35:53.386,0
420,Battery Tag,2020-11-20 07:36:23.318,4
421,Battery Designed Capacity (mWh) ,2020-11-20 07:36:23.318,70000
422,Battery Full Charged Capacity (mWh),2020-11-20 07:36:23.318,69680
423,Battery Cycle Count,2020-11-20 07:36:23.318,12
424,Battery Left (%).,2020-11-20 07:36:23.386,100
425,Battery Flag,2020-11-20 07:36:23.386,1
426,Battery Life Time (Seconds).,2020-11-20 07:36:23.386,4294967295
427,Battery Charging.,2020-11-20 07:36:23.386,0
428,Battery Discharging.,2020-11-20 07:36:23.386,0
429,Battery MaxCapacity (mWh).,2020-11-20 07:36:23.386,69680
430,Battery estimatedTime (Seconds).,2020-11-20 07:36:23.386,4294967295
431,Battery Current Capacity (mWh),2020-11-20 07:36:23.386,69680
432,Battery Voltage (mv),2020-11-20 07:36:23.386,17303
433,Battery Rate (mW),2020-11-20 07:36:23.386,0
434,Battery Tag,2020-11-20 07:36:53.318,4
435,Battery Designed Capacity (mWh) ,2020-11-20 07:36:53.318,70000
436,Battery Full Charged Capacity (mWh),2020-11-20 07:36:53.318,69680
437,Battery Cycle Count,2020-11-20 07:36:53.318,12
438,Battery Left (%).,2020-11-20 07:36:53.385,100
439,Battery Flag,2020-11-20 07:36:53.385,1
440,Battery Life Time (Seconds).,2020-11-20 07:36:53.385,4294967295
